"","superkingdom","phylum","class","order","family","genus","species"
"species-Citrobacter_braakii","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter braakii"
"species-Bifidobacterium_animalis","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium animalis"
"species-Citrobacter_youngae","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter youngae"
"species-Lactobacillus_acidophilus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus acidophilus"
"species-Anaeroglobus_geminatus","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Anaeroglobus","Anaeroglobus geminatus"
"species-Bifidobacterium_dentium","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium dentium"
"species-Clostridium_neonatale","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium neonatale"
"species-Clostridioides_difficile","Bacteria","Firmicutes","Clostridia","Eubacteriales","Peptostreptococcaceae","Clostridioides","Clostridioides difficile"
"species-Enterococcus_faecium","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecium"
"species-Morganella_morganii","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Morganella","Morganella morganii"
"species-Streptococcus_oralis","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus oralis"
"species-Klebsiella_michiganensis","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella michiganensis"
"species-Clostridium_sp._chh4-2","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium sp. chh4-2"
"species-Bacteroides_nordii","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides nordii"
"species-Klebsiella_aerogenes","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella aerogenes"
"species-Leclercia_adecarboxylata","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Leclercia","Leclercia adecarboxylata"
"species-Enterobacter_mori","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter mori"
"species-Kluyvera_ascorbata","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Kluyvera","Kluyvera ascorbata"
"species-Pseudoflavonifractor_capillosus","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Pseudoflavonifractor","Pseudoflavonifractor capillosus"
"species-Ruminococcaceae_bacterium_D5","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae",NA,"Ruminococcaceae bacterium D5"
"species-Raoultella_planticola","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Raoultella","Raoultella planticola"
"species-Roseburia_sp._CAG-303","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Roseburia","Roseburia sp. CAG:303"
"species-Coprococcus_eutactus","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Coprococcus","Coprococcus eutactus"
"species-Eubacterium_sp._CAG-251","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","Eubacterium","Eubacterium sp. CAG:251"
"species-Alloscardovia_omnicolens","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Alloscardovia","Alloscardovia omnicolens"
"species-Eubacterium_sp._CAG-180","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","Eubacterium","Eubacterium sp. CAG:180"
"species-Eubacterium_sp._CAG-274","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","Eubacterium","Eubacterium sp. CAG:274"
"species-Cutibacterium_acnes","Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Propionibacteriaceae","Cutibacterium","Cutibacterium acnes"
"species-Dialister_sp._CAG-357","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Dialister","Dialister sp. CAG:357"
"species-Bacteroides_oleiciplenus","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides oleiciplenus"
"species-Coprobacter_secundus","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Barnesiellaceae","Coprobacter","Coprobacter secundus"
"species-Kocuria_palustris","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Micrococcaceae","Kocuria","Kocuria palustris"
"species-Acinetobacter_lwoffii","Bacteria","Proteobacteria","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter lwoffii"
"species-Micrococcus_lylae","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Micrococcaceae","Micrococcus","Micrococcus lylae"
"species-Pararheinheimera_mesophila","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Pararheinheimera","Pararheinheimera mesophila"
"species-Desulfovibrionaceae_bacterium","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae",NA,"Desulfovibrionaceae bacterium"
"species-Massilimicrobiota_timonensis","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Massilimicrobiota","Massilimicrobiota timonensis"
"species-Fretibacterium_fastidiosum","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Fretibacterium","Fretibacterium fastidiosum"
"species-Streptococcus_vestibularis","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus vestibularis"
"species-Clostridium_sp._CAG-411","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium sp. CAG:411"
"species-Megamonas_funiformis","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Selenomonadaceae","Megamonas","Megamonas funiformis"
"species-Megamonas_hypermegale","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Selenomonadaceae","Megamonas","Megamonas hypermegale"
"species-Phocaeicola_coprocola","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola coprocola"
"species-Megamonas_funiformis_CAG-377","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Selenomonadaceae","Megamonas","Megamonas funiformis CAG:377"
"species-Paraprevotella_clara","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Paraprevotella","Paraprevotella clara"
"species-Streptococcus_gordonii","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus gordonii"
"species-Coprobacillus_cateniformis","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Coprobacillaceae","Coprobacillus","Coprobacillus cateniformis"
"species-Prevotella_colorans","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella colorans"
"species-Prevotella_buccalis","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella buccalis"
"species-Anaerofustis_stercorihominis","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","Anaerofustis","Anaerofustis stercorihominis"
"species-Latilactobacillus_sakei","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Latilactobacillus","Latilactobacillus sakei"
"species-Clostridium_disporicum","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium disporicum"
"species-Ruminococcus_sp._CAG-330","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Ruminococcus","Ruminococcus sp. CAG:330"
"species-Streptococcus_agalactiae","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus agalactiae"
"species-Aggregatibacter_segnis","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Aggregatibacter","Aggregatibacter segnis"
"species-Fusobacterium_nucleatum","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","Fusobacterium nucleatum"
"species-Bifidobacterium_pseudolongum","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium pseudolongum"
"species-Allisonella_histaminiformans","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Allisonella","Allisonella histaminiformans"
"species-Prevotella_bivia","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella bivia"
"species-Clostridium_sp._CAG-590","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium sp. CAG:590"
"species-Ruminococcus_callidus","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Ruminococcus","Ruminococcus callidus"
"species-Holdemanella_biformis","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Holdemanella","Holdemanella biformis"
"species-Escherichia_marmotae","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia marmotae"
"species-Terrisporobacter_othiniensis","Bacteria","Firmicutes","Clostridia","Eubacteriales","Peptostreptococcaceae","Terrisporobacter","Terrisporobacter othiniensis"
"species-Porphyromonas_somerae","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Porphyromonas somerae"
"species-Prevotella_salivae","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella salivae"
"species-Citrobacter_amalonaticus","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter amalonaticus"
"species-Ligilactobacillus_salivarius","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Ligilactobacillus salivarius"
"species-Megasphaera_micronuciformis","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Megasphaera","Megasphaera micronuciformis"
"species-Neisseria_sp._oral_taxon_014","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria sp. oral taxon 014"
"species-Anaerostipes_caccae","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Anaerostipes","Anaerostipes caccae"
"species-Coprococcus_catus","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Coprococcus","Coprococcus catus"
"species-Blautia_argi","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia","Blautia argi"
"species-Escherichia_albertii","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia albertii"
"species-Prevotella_disiens","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella disiens"
"species-Porphyromonas_uenonis","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Porphyromonas uenonis"
"species-Peptococcus_niger","Bacteria","Firmicutes","Clostridia","Eubacteriales","Peptococcaceae","Peptococcus","Peptococcus niger"
"species-Bacteroides_sp._CAG-144","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides sp. CAG:144"
"species-Eubacterium_sp._An11","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","Eubacterium","Eubacterium sp. An11"
"species-Blautia_coccoides","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia","Blautia coccoides"
"species-Oxalobacter_formigenes","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Oxalobacter","Oxalobacter formigenes"
"species-Tractidigestivibacter_scatoligenes","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Tractidigestivibacter","Tractidigestivibacter scatoligenes"
"species-Dialister_pneumosintes","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Dialister","Dialister pneumosintes"
"species-Megasphaera_sp._DISK_18","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Megasphaera","Megasphaera sp. DISK 18"
"species-Clostridium_sp._CAG-167","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium sp. CAG:167"
"species-Hafnia_paralvei","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Hafniaceae","Hafnia","Hafnia paralvei"
"species-Alistipes_onderdonkii","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes onderdonkii"
"species-Coprobacter_sp.","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Barnesiellaceae","Coprobacter","Coprobacter sp."
"species-Corynebacterium_matruchotii","Bacteria","Actinobacteria","Actinomycetia","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium matruchotii"
"species-Bacteroides_stercorirosoris","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides stercorirosoris"
"species-Staphylococcus_epidermidis","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus epidermidis"
"species-Parabacteroides_goldsteinii","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides goldsteinii"
"species-Roseburia_sp._CAG-182","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Roseburia","Roseburia sp. CAG:182"
"species-Oscillibacter_sp._PC13","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Oscillibacter","Oscillibacter sp. PC13"
"species-Firmicutes_bacterium_CAG-110","Bacteria","Firmicutes",NA,NA,NA,NA,"Firmicutes bacterium CAG:110"
"species-Prevotella_sp._885","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella sp. 885"
"species-Parvimonas_micra","Bacteria","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae","Parvimonas","Parvimonas micra"
"species-Peptostreptococcus_stomatis","Bacteria","Firmicutes","Clostridia","Eubacteriales","Peptostreptococcaceae","Peptostreptococcus","Peptostreptococcus stomatis"
"species-Moraxella_osloensis","Bacteria","Proteobacteria","Gammaproteobacteria","Moraxellales","Moraxellaceae","Moraxella","Moraxella osloensis"
"species-Enhydrobacter_aerosaccus","Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales",NA,"Enhydrobacter","Enhydrobacter aerosaccus"
"species-Micrococcus_luteus","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Micrococcaceae","Micrococcus","Micrococcus luteus"
"species-Micrococcus_aloeverae","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Micrococcaceae","Micrococcus","Micrococcus aloeverae"
"genus-Streptococcus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"species-Dialister_micraerophilus","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Dialister","Dialister micraerophilus"
"species-Campylobacter_concisus","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","Campylobacter concisus"
"species-Megasphaera_sp._MJR8396C","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Megasphaera","Megasphaera sp. MJR8396C"
"species-Cloacibacillus_porcorum","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Cloacibacillus","Cloacibacillus porcorum"
"species-Desulfovibrio_fairfieldensis","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","Desulfovibrio fairfieldensis"
"species-Phascolarctobacterium_sp._CAG-266","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium","Phascolarctobacterium sp. CAG:266"
"species-Rikenella_microfusus","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenella","Rikenella microfusus"
"species-Roseburia_sp._CAG-309","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Roseburia","Roseburia sp. CAG:309"
"species-Flavonifractor_sp._An10","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Flavonifractor","Flavonifractor sp. An10"
"species-Victivallis_vadensis","Bacteria","Lentisphaerae","Lentisphaeria","Victivallales","Victivallaceae","Victivallis","Victivallis vadensis"
"species-Firmicutes_bacterium_CAG-95","Bacteria","Firmicutes",NA,NA,NA,NA,"Firmicutes bacterium CAG:95"
"species-Enorma_massiliensis","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Enorma","Enorma massiliensis"
"species-Citrobacter_pasteurii","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter pasteurii"
"species-Streptococcus_salivarius_CAG-79","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus salivarius CAG:79"
"species-Veillonella_seminalis","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella seminalis"
"species-Enterococcus_faecalis","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecalis"
"species-Streptococcus_mitis","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus mitis"
"species-Butyricicoccus_pullicaecorum","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Butyricicoccus","Butyricicoccus pullicaecorum"
"species-Prevotella_corporis","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella corporis"
"species-Lachnoclostridium_sp._An131","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnoclostridium","Lachnoclostridium sp. An131"
"species-Lachnoclostridium_sp._An118","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnoclostridium","Lachnoclostridium sp. An118"
"species-_methylpentosum","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae",NA,"[Clostridium] methylpentosum"
"species-Haemophilus_parahaemolyticus","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","Haemophilus parahaemolyticus"
"species-Neisseria_flavescens","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria flavescens"
"species-Veillonella_rogosae","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella rogosae"
"species-Neisseria_subflava","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria subflava"
"species-Sharpea_azabuensis","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Coprobacillaceae","Sharpea","Sharpea azabuensis"
"species-Anaerofilum_sp._An201","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Anaerofilum","Anaerofilum sp. An201"
"species-Romboutsia_ilealis","Bacteria","Firmicutes","Clostridia","Eubacteriales","Peptostreptococcaceae","Romboutsia","Romboutsia ilealis"
"species-Fusobacterium_periodonticum","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","Fusobacterium periodonticum"
"species-Lachnoclostridium_sp._An14","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnoclostridium","Lachnoclostridium sp. An14"
"species-Flavonifractor_sp._An100","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Flavonifractor","Flavonifractor sp. An100"
"species-Clostridium_sp._CAG-253","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium sp. CAG:253"
"species-Arthrospira_platensis","Bacteria","Cyanobacteria",NA,"Oscillatoriales","Microcoleaceae","Arthrospira","Arthrospira platensis"
"species-Lactobacillus_amylovorus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus amylovorus"
"species-Limosilactobacillus_oris","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus oris"
"species-Streptococcus_lutetiensis","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus lutetiensis"
"species-Weissella_cibaria","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Weissella","Weissella cibaria"
"species-Rothia_mucilaginosa","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Micrococcaceae","Rothia","Rothia mucilaginosa"
"species-Streptococcus_pasteurianus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus pasteurianus"
"species-Prevotella_melaninogenica","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella melaninogenica"
"species-Prevotella_jejuni","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella jejuni"
"species-Veillonella_tobetsuensis","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella tobetsuensis"
"species-Streptococcus_sp._M334","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. M334"
"species-Actinomyces_sp._ICM47","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces sp. ICM47"
"species-Streptococcus_sp._A12","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. A12"
"species-Clostridium_sp._CAG-678","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium sp. CAG:678"
"species-Candidatus_Methanomassiliicoccus_intestinalis","Archaea","Candidatus Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","Methanomassiliicoccaceae","Methanomassiliicoccus","Candidatus Methanomassiliicoccus intestinalis"
"species-Candidatus_Gastranaerophilales_bacterium","Bacteria","Candidatus Melainabacteria",NA,"Candidatus Gastranaerophilales",NA,NA,"Candidatus Gastranaerophilales bacterium"
"species-Prevotella_denticola","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella denticola"
"species-Leuconostoc_lactis","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Leuconostoc","Leuconostoc lactis"
"species-Prevotella_oris","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella oris"
"species-Prevotella_dentalis","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella dentalis"
"species-_infirmum","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales Family XIII. Incertae Sedis",NA,"[Eubacterium] infirmum"
"species-Shuttleworthia_satelles","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Shuttleworthia","Shuttleworthia satelles"
"species-Prevotella_nigrescens","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella nigrescens"
"species-Enterococcus_hirae","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus hirae"
"species-Adlercreutzia_caecimuris","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Adlercreutzia","Adlercreutzia caecimuris"
"species-Citrobacter_portucalensis","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter portucalensis"
"species-Raoultella_ornithinolytica","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Raoultella","Raoultella ornithinolytica"
"species-Dysgonomonas_mossii","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Dysgonomonas","Dysgonomonas mossii"
"species-Firmicutes_bacterium_CAG-646","Bacteria","Firmicutes",NA,NA,NA,NA,"Firmicutes bacterium CAG:646"
"species-Streptococcus_gallolyticus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus gallolyticus"
"species-Christensenella_hongkongensis","Bacteria","Firmicutes","Clostridia","Eubacteriales","Christensenellaceae","Christensenella","Christensenella hongkongensis"
"species-Lactobacillus_paragasseri","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus paragasseri"
"species-Lactobacillus_gasseri","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus gasseri"
"species-Peptostreptococcus_anaerobius","Bacteria","Firmicutes","Clostridia","Eubacteriales","Peptostreptococcaceae","Peptostreptococcus","Peptostreptococcus anaerobius"
"species-Acinetobacter_ursingii","Bacteria","Proteobacteria","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter ursingii"
"species-Lactococcus_lactis","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Lactococcus lactis"
"species-Odoribacter_laneus","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Odoribacteraceae","Odoribacter","Odoribacter laneus"
"species-Haemophilus_sputorum","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","Haemophilus sputorum"
"species-Peptoniphilus_harei","Bacteria","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae","Peptoniphilus","Peptoniphilus harei"
"species-Pediococcus_acidilactici","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Pediococcus","Pediococcus acidilactici"
"species-Fusobacterium_gonidiaformans","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","Fusobacterium gonidiaformans"
"species-Fusobacterium_equinum","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","Fusobacterium equinum"
"species-Leuconostoc_garlicum","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Leuconostoc","Leuconostoc garlicum"
"species-Campylobacter_showae","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","Campylobacter showae"
"species-Aeromonas_hydrophila","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas","Aeromonas hydrophila"
"species-Aeromonas_dhakensis","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas","Aeromonas dhakensis"
"species-Prevotella_stercorea","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella stercorea"
"species-Phascolarctobacterium_succinatutens","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium","Phascolarctobacterium succinatutens"
"species-Prevotella_sp._AM42-24","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella sp. AM42-24"
